word,meaning,source,,word_type,gender,direct translation
a,love (for inanimates only); to love (inanimates only)       {orig},orig,,pos emotion,,no
áabe,book       {orig},orig,,object,,
áabewehe,bookstore [áabe=book + wehe=store]       {new},new,,place,,
áada,smile       {AB},new,,body,,
aálá,"spray, to spray (as in water)       {new}",new,,water,,
áala,thank you       {orig},orig,,social,,
áalaá,butterfly       {orig},orig,,animal,,
aáláan,wave of water (on ocean or lake)       {orig},orig,,water,,no
aáláthon,ejaculate [aálá=spray + thon=seed]       {new},new,,sex,,
aále,"curl, ruffle, to curl       {SH}",new,,personal action,,
aálesh,"parsley, the herb       {SH}",new,,food,,
áalilomáa,sound of rhythmically flowing water       {SH},new,,water,,no
áalilomáan,sound of rhythmic waves       {SH},new,,water,,no
áana,"sleep, to sleep (synonym: ina)       {orig}",orig,,personal action,,
áath,door       {orig},orig,,object,,
áatham,church [áath=door + tham=circle]       {orig},orig,,place,,
áathethóo,"door guest, a guest who just shows up at your door [áath=door + (e)thóo=guest] (See also: thóo, nithedimethóo, shineshidethóo, widadithethóo)       {CH}",new,,relationship,,no
áayáa,"mysterious love, not yet known to be welcome or unwelcome       {orig}",orig,,neut emotion,,no
áayo,skirt       {orig},orig,,clothes,fem,
áazh,"love for one sexually desired at one time, but not now       {orig}",orig,,pos emotion,,no
ab,love for one liked but not respected       {orig},orig,,pos emotion,,no
aba,"fragrance, to be fragrant       {orig}",orig,,sense,,
abash,"tarragon, the herb       {SH}",new,,food,,
abathede,"clitoris [aba=fragrant + thede= jewel]       {Grammar Updates: RB, BG, PJ}",new,,sex,fem,
ábed,"farm, to farm       {orig}",orig,,place,,
ábedá,farmer [ábed=farm + -á=suffix for doer]       {orig},orig,,person,,
ábedun,field of a farm (noun) [ábed=farm + dun=meadow]       {new},new,,place,,no
abesh,"to be all things, all-that-is (woho=all, every)       {orig}",orig,,spirituality,,no
ad,love for one respected but not liked       {orig},orig,,pos emotion,,no
ada,"laugh, to laugh       {orig}",orig,,personal action,,
adadama,"tickle, to tickle [ada=laugh + dama=touch]       {AH}",new,,personal action,,
adal,"sew, to sew       {CH}",new,,personal action,,
Adaletham,August (berry month) [A-=month prefix + daletham=berry]       {orig},orig,,time,,
adama,"tickle, to tickle [a=love + dama=touch]",blank,,personal action,,
adelith,dandruff       {JP},new,,body,,
Adol,December (root month) [A-=month prefix + dol=root]       {orig},orig,,time,,
adoni,to land (as a ship or plane); also a landing       {orig},orig,,place,,
ahana,chocolate [a=love + (h)ana=food]       {CH},new,,food,,
ahanamezh,cocoa [ahana=chocolate + mezh=powder]       {CH},new,,food,,
Ahede,September (grain month) [A-=month prefix + (h)ede=grain]       {orig},orig,,time,,
Ahesh,March (grass month) [A-=month prefix + hesh=grass]       {orig},orig,,time,,
áhesh,"responsibility, to be responsible       {orig}",orig,,relationship,,
al,toilet       {orig},orig,,object,,
alehaáláan,rhythm       {AH},new,,,,
alehala,"art, to “art”, to make art       {Grammar Updates}",new,,,,
alehale,"music, to make music (sing, whistle, musical instrument)       {orig}",orig,,,,
Alel,January (seaweed month) [A-=month prefix + lel=seaweed]       {orig},orig,,time,,
alu,"marsh, swamp       {SH}",new,,place,,
álub,chick [á=very young + lub= chicken],blank,,animal,,
am,love for one related by blood       {orig},orig,,pos emotion,,no
Amahina,May (flower month) [A-=month prefix + mahina=flower]       {orig},orig,,time,,
Ameda,July (vegetable month) [A-=month prefix + meda=vegetable]       {orig},orig,,time,,
amedara,"dance, to dance       {orig}",orig,,personal action,,
ámid,"baby animal, very young creature [á-=baby + mid=animal] (see háamid, yáamid)",blank,,object,,no
an,to know (of people)       {orig},orig,,,,
ana,food       {orig},orig,,food,,
anadal,"meal (general term) (breakfast, lunch, dinner, etc) [ana=food + dal=thing]       {orig}",orig,,food,,
anadalá,"cook, chef [anadal=meal + -á=suffix for doer]       {orig}",orig,,"person, food",,
anahelilith,feminist-angel [loanword: Greek/Akkadian]      {Grammar Updates: CF},new,,person,fem,no
analel,agar (a seaweed) [ana=food + lel=seaweed]       {SH},new,,food,,
anawehe,"grocery store, food store, to grocery shop [ana=food + wehe=store]       {new}",new,,place,,
Arahanesha,Arkansas (loanword)       {orig},orig,,place,,
Aranesha,"Arkansas “pet” name, short form       {orig}",orig,,place,,
aril,"1) later, after (in time)       {orig}",orig,,time,,
aril,2) future (time auxiliary)       {orig},orig,,grammar,,
Aril,"good-bye, leavetaking, farewell (aril=later)       {orig}",orig,,social,,
aríli,"far future, long ahead (time auxiliary) (aril=later)      {orig}",orig,,time,,
ash,star       {orig},orig,,,,
ásháana,"joyful menstruation, to menstruate joyfully (osháana=to menstruate)       {orig}",orig,,sex,fem,no
ashon,"love for one not related by blood, but heart-kin       {orig}",orig,,pos emotion,,no
ath,"benison, spoken blessing, to to give a spoken blessing       {orig}",orig,,spirituality,,no
Athesh,June (herb month) [A-=month prefix + thesh=herb]       {orig},orig,,time,,
Athil,April (vine month) [A-=month prefix + thil=vine]       {orig},orig,,time,,
Athon,November (seed month) [A-=month prefix + thon=seed]       {orig},orig,,time,,
áwith,"baby, infant, very young person [á-=baby + with=person] (see háawith, yáawith)       {orig}",orig,,,,
áwithid,"male baby, male infant [áwith=baby + -id=suffix for male]       {orig}",orig,,,masc,
áwod,diaper       {new},new,,object,,
áya,to be beautiful       {orig},orig,,,fem,
Ayáanin,February (tree month) [A-=month prefix + yáanin=tree]       {orig},orig,,time,,
aye,love which is an unwelcome burden       {orig},orig,,neg emotion,,no
Ayu,October (fruit month) [A-=month prefix + yu=fruit]       {orig},orig,,time,,
azh,love for one sexually desired now       {orig},orig,,pos emotion,,no
azháadin,to menopause uneventfully [zháadin=to menopause]       {orig},orig,,sex,fem,no
azhur,lover       {AH},new,,relationship,fem,
báa,"I say to you as a question, …; I ask…: Question Speech Act, neutral {orig}",orig,,grammar,,
báalish,"patchwork quilt, to make a patchwork quilt (See also: balish) {orig}",orig,,object,fem,
bab,"ball: a spherical object, any of various movable and round or oblong objects used in various athletic activities and games, to form into a ball. {new}",new,,object,,
babí,bird {orig},orig,,animal,,
bad,mineral {orig},orig,,material,,
bada,1) spoon {orig},orig,,object,,
bada,"2) repeatedly, at random; Repetition Morpheme (See also: badan, brada, bradan, bradá)",blank,,grammar,,
badan,"repeatedly, in a pattern over which humans have no control; repetition morpheme (See also: bada, brada, bradan, bradá)",blank,,,,no
badazh,metal {SH},new,,material,,
badazhel,smith-craft [badazh=metal + el=make] {AB},new,,person,,
badazhelá,"smith, metal smith [badazh=metal + el=make + -á=doer] {AB}",new,,person,,
badazhud,ore [badazh=metal + ud=stone],blank,,material,,
bal,bread {orig},orig,,food,,
bala,"anger with reason, with someone to blame, which is not futile (See also: bara, bana, bama, bina) {orig}",orig,,neg emotion,,no
balá,baker [bal=bread + -á=doer] {orig},orig,,person,,
baledim,breadbox [bal=bread + (e)dim=container] {new},new,,food,,
balin,to be old {orig},orig,,,,
balinemid,"turtle, tortoise [balin=old + mid=creature] {orig}",orig,,animal,,
balish,"quilt, to quilt, not patchwork (See also: báalish) {orig}",orig,,,,
