state,ocean
New Jersey,yes
Rhode Island,yes
Massachusetts,yes
Connecticut,yes
Maryland,yes
Delaware,yes
New York,yes
Florida,yes
Pennsylvania,no
Ohio,no
California,yes
Illinois,no
Hawaii,yes
Virginia,yes
North Carolina,yes
Indiana,no
Georgia,yes
Michigan,no
South Carolina,yes
Tennessee,no
New Hampshire,yes
Kentucky,no
Louisiana,yes
Washington,yes
Wisconsin,no
Texas,yes
Alabama,yes
Missouri,no
West Virginia,no
Minnesota,no
Vermont,no
Mississippi,yes
Arizona,no
Arkansas,no
Oklahoma,no
Iowa,no
Colorado,no
Maine,yes
Oregon,yes
Utah,no
Kansas,no
Nevada,no
Nebraska,no
Idaho,no
New Mexico,no
South Dakota,no
North Dakota,no
Montana,no
Wyoming,no
Alaska,yes
